eventID,measurementType,measurementValue,measurementUnit
VIS_2370,length,6.0,cm
VIS_2370,sampling distance,75.0,meter
VIS_2370,weight,3.10,g
VIS_2371,length,6.0,cm
VIS_2371,sampling distance,30.0,meter
VIS_2371,weight,3.10,g
VIS_2372,length,5.3,cm
VIS_2372,sampling distance,30.0,meter
VIS_2372,weight,2.40,g
VIS_2373,length,5.5,cm
VIS_2373,sampling distance,30.0,meter
VIS_2373,weight,2.30,g
VIS_2374,length,5.5,cm
VIS_2374,sampling distance,30.0,meter
VIS_2374,weight,2.30,g
VIS_2375,length,5.8,cm
VIS_2375,sampling distance,75.0,meter
VIS_2375,weight,1.80,g
VIS_2376,length,5.2,cm
VIS_2376,sampling distance,75.0,meter
VIS_2376,weight,1.90,g
VIS_2377,length,5.7,cm
VIS_2377,sampling distance,75.0,meter
VIS_2377,weight,3.10,g
VIS_2378,length,5.3,cm
VIS_2378,sampling distance,75.0,meter
VIS_2378,weight,2.00,g
VIS_2379,length,6.0,cm
VIS_2379,sampling distance,75.0,meter
VIS_2379,weight,3.00,g
VIS_2380,length,5.2,cm
VIS_2380,sampling distance,75.0,meter
VIS_2380,weight,2.20,g
VIS_2381,length,9.0,cm
VIS_2381,sampling distance,75.0,meter
VIS_2381,weight,12.70,g
VIS_2382,length,19.0,cm
VIS_2382,sampling distance,75.0,meter
VIS_2382,weight,92.80,g
VIS_2383,length,18.0,cm
VIS_2383,sampling distance,75.0,meter
VIS_2383,weight,56.70,g
VIS_2384,length,13.0,cm
VIS_2384,sampling distance,75.0,meter
VIS_2384,weight,21.80,g
VIS_2385,length,4.0,cm
VIS_2385,sampling distance,75.0,meter
VIS_2385,weight,0.50,g
VIS_2386,length,6.0,cm
VIS_2386,sampling distance,75.0,meter
VIS_2386,weight,2.10,g
VIS_2387,length,6.5,cm
VIS_2387,sampling distance,75.0,meter
VIS_2387,weight,2.60,g
VIS_2388,length,6.2,cm
VIS_2388,sampling distance,75.0,meter
VIS_2388,weight,2.20,g
VIS_2389,length,5.0,cm
VIS_2389,sampling distance,75.0,meter
VIS_2389,weight,0.90,g
VIS_2390,length,4.0,cm
VIS_2390,sampling distance,30.0,meter
VIS_2390,weight,0.60,g
VIS_2391,length,4.0,cm
VIS_2391,sampling distance,30.0,meter
VIS_2391,weight,0.60,g
VIS_2392,length,4.0,cm
VIS_2392,sampling distance,75.0,meter
VIS_2392,weight,0.60,g
VIS_2393,sampling distance,75.0,meter
VIS_2393,weight,3.00,g
VIS_2394,length,11.0,cm
VIS_2394,sampling distance,75.0,meter
VIS_2394,weight,22.50,g
VIS_2395,length,10.6,cm
VIS_2395,sampling distance,75.0,meter
VIS_2395,weight,19.30,g
VIS_2396,length,10.8,cm
VIS_2396,sampling distance,75.0,meter
VIS_2396,weight,23.40,g
VIS_2397,length,11.0,cm
VIS_2397,sampling distance,75.0,meter
VIS_2397,weight,24.70,g
VIS_2398,length,12.1,cm
VIS_2398,sampling distance,75.0,meter
VIS_2398,weight,25.80,g
VIS_2399,length,12.0,cm
VIS_2399,sampling distance,75.0,meter
VIS_2399,weight,30.50,g
VIS_2400,length,11.5,cm
VIS_2400,sampling distance,75.0,meter
VIS_2400,weight,27.60,g
VIS_2401,length,10.5,cm
VIS_2401,sampling distance,75.0,meter
VIS_2401,weight,21.30,g
VIS_2402,length,12.0,cm
VIS_2402,sampling distance,75.0,meter
VIS_2402,weight,30.40,g
VIS_2403,length,7.8,cm
VIS_2403,sampling distance,75.0,meter
VIS_2403,weight,9.00,g
VIS_2404,length,11.0,cm
VIS_2404,sampling distance,75.0,meter
VIS_2404,weight,23.50,g
VIS_2405,length,11.0,cm
VIS_2405,sampling distance,75.0,meter
VIS_2405,weight,23.60,g
VIS_2406,length,11.0,cm
VIS_2406,sampling distance,75.0,meter
VIS_2406,weight,22.40,g
VIS_2407,length,10.1,cm
VIS_2407,sampling distance,75.0,meter
VIS_2407,weight,19.00,g
VIS_2408,length,12.0,cm
VIS_2408,sampling distance,75.0,meter
VIS_2408,weight,28.50,g
VIS_2409,length,9.8,cm
VIS_2409,sampling distance,75.0,meter
VIS_2409,weight,17.70,g
VIS_2410,length,11.0,cm
VIS_2410,sampling distance,75.0,meter
VIS_2410,weight,24.10,g
VIS_2411,length,11.4,cm
VIS_2411,sampling distance,75.0,meter
VIS_2411,weight,23.20,g
VIS_2412,length,12.4,cm
VIS_2412,sampling distance,75.0,meter
VIS_2412,weight,32.00,g
VIS_2413,length,11.2,cm
VIS_2413,sampling distance,75.0,meter
VIS_2413,weight,27.70,g
VIS_2414,length,11.2,cm
VIS_2414,sampling distance,75.0,meter
VIS_2414,weight,30.00,g
VIS_2415,length,11.7,cm
VIS_2415,sampling distance,75.0,meter
VIS_2415,weight,24.60,g
VIS_2416,length,11.2,cm
VIS_2416,sampling distance,75.0,meter
VIS_2416,weight,24.80,g
VIS_2417,length,12.0,cm
VIS_2417,sampling distance,75.0,meter
VIS_2417,weight,32.60,g
VIS_2418,length,10.2,cm
VIS_2418,sampling distance,75.0,meter
VIS_2418,weight,21.90,g
VIS_2419,length,10.5,cm
VIS_2419,sampling distance,75.0,meter
VIS_2419,weight,21.50,g
VIS_2420,length,9.5,cm
VIS_2420,sampling distance,75.0,meter
VIS_2420,weight,15.50,g
VIS_2421,length,10.7,cm
VIS_2421,sampling distance,75.0,meter
VIS_2421,weight,21.00,g
VIS_2422,length,10.0,cm
VIS_2422,sampling distance,75.0,meter
VIS_2422,weight,17.50,g
VIS_2423,length,9.5,cm
VIS_2423,sampling distance,75.0,meter
VIS_2423,weight,12.80,g
VIS_2424,length,10.2,cm
VIS_2424,sampling distance,30.0,meter
VIS_2424,weight,16.70,g
VIS_2425,length,7.0,cm
VIS_2425,sampling distance,75.0,meter
VIS_2425,weight,4.20,g
VIS_2426,length,9.8,cm
VIS_2426,sampling distance,75.0,meter
VIS_2426,weight,12.40,g
VIS_2427,length,8.2,cm
VIS_2427,sampling distance,75.0,meter
VIS_2427,weight,8.40,g
VIS_2428,length,8.4,cm
VIS_2428,sampling distance,75.0,meter
VIS_2428,weight,9.00,g
VIS_2429,length,7.4,cm
VIS_2429,sampling distance,75.0,meter
VIS_2429,weight,7.30,g
VIS_2430,length,8.0,cm
VIS_2430,sampling distance,75.0,meter
VIS_2430,weight,6.80,g
VIS_2431,length,8.8,cm
VIS_2431,sampling distance,75.0,meter
VIS_2431,weight,9.20,g
VIS_2432,length,8.0,cm
VIS_2432,sampling distance,75.0,meter
VIS_2432,weight,7.30,g
VIS_2433,length,8.0,cm
VIS_2433,sampling distance,75.0,meter
VIS_2433,weight,7.60,g
VIS_2434,length,9.0,cm
VIS_2434,sampling distance,75.0,meter
VIS_2434,weight,11.40,g
VIS_2435,length,5.0,cm
VIS_2435,sampling distance,75.0,meter
VIS_2435,weight,1.70,g
VIS_2436,length,7.0,cm
VIS_2436,sampling distance,75.0,meter
VIS_2436,weight,4.10,g
VIS_2437,length,5.8,cm
VIS_2437,sampling distance,75.0,meter
VIS_2437,weight,2.70,g
VIS_2438,length,6.8,cm
VIS_2438,sampling distance,75.0,meter
VIS_2438,weight,4.40,g
VIS_2439,length,12.5,cm
VIS_2439,sampling distance,75.0,meter
VIS_2439,weight,31.80,g
VIS_2440,length,11.0,cm
VIS_2440,sampling distance,75.0,meter
VIS_2440,weight,20.20,g
VIS_2441,length,8.0,cm
VIS_2441,sampling distance,75.0,meter
VIS_2441,weight,7.60,g
VIS_2442,length,8.4,cm
VIS_2442,sampling distance,75.0,meter
VIS_2442,weight,8.70,g
VIS_2443,length,9.2,cm
VIS_2443,sampling distance,75.0,meter
VIS_2443,weight,11.30,g
VIS_2444,length,7.8,cm
VIS_2444,sampling distance,75.0,meter
VIS_2444,weight,8.00,g
VIS_2445,length,10.1,cm
VIS_2445,sampling distance,75.0,meter
VIS_2445,weight,16.10,g
VIS_2446,length,7.5,cm
VIS_2446,sampling distance,75.0,meter
VIS_2446,weight,7.10,g
VIS_2447,length,7.0,cm
VIS_2447,sampling distance,75.0,meter
VIS_2447,weight,5.10,g
VIS_2448,length,7.5,cm
VIS_2448,sampling distance,75.0,meter
VIS_2448,weight,6.10,g
VIS_2449,length,8.2,cm
VIS_2449,sampling distance,75.0,meter
VIS_2449,weight,9.00,g
VIS_2450,length,6.8,cm
VIS_2450,sampling distance,75.0,meter
VIS_2450,weight,4.00,g
VIS_2451,length,8.0,cm
VIS_2451,sampling distance,75.0,meter
VIS_2451,weight,7.10,g
VIS_2452,length,5.5,cm
VIS_2452,sampling distance,75.0,meter
VIS_2452,weight,2.30,g
VIS_2453,length,7.8,cm
VIS_2453,sampling distance,75.0,meter
VIS_2453,weight,6.10,g
VIS_2461,length,47.0,cm
VIS_2461,sampling distance,50.0,meter
VIS_2461,weight,1200.00,g
VIS_2462,length,37.0,cm
VIS_2462,sampling distance,50.0,meter
VIS_2462,weight,1000.00,g
VIS_2463,length,22.0,cm
VIS_2463,sampling distance,50.0,meter
VIS_2463,weight,233.80,g
VIS_2464,length,14.0,cm
VIS_2464,sampling distance,50.0,meter
VIS_2464,weight,28.00,g
VIS_2465,length,12.0,cm
VIS_2465,sampling distance,50.0,meter
VIS_2465,weight,20.60,g
VIS_2466,length,16.0,cm
VIS_2466,sampling distance,50.0,meter
VIS_2466,weight,40.20,g
VIS_2467,length,12.0,cm
VIS_2467,sampling distance,50.0,meter
VIS_2467,weight,22.50,g
VIS_2468,length,16.0,cm
VIS_2468,sampling distance,50.0,meter
VIS_2468,weight,39.10,g
VIS_2469,length,9.5,cm
VIS_2469,sampling distance,50.0,meter
VIS_2469,weight,9.40,g
VIS_2470,length,8.4,cm
VIS_2470,sampling distance,50.0,meter
VIS_2470,weight,8.30,g
VIS_2471,length,13.0,cm
VIS_2471,sampling distance,50.0,meter
VIS_2471,weight,20.80,g
VIS_2472,length,9.2,cm
VIS_2472,sampling distance,50.0,meter
VIS_2472,weight,8.20,g
VIS_2473,length,9.8,cm
VIS_2473,sampling distance,50.0,meter
VIS_2473,weight,8.70,g
VIS_2474,length,9.2,cm
VIS_2474,sampling distance,50.0,meter
VIS_2474,weight,9.20,g
VIS_2475,length,9.0,cm
VIS_2475,sampling distance,50.0,meter
VIS_2475,weight,6.70,g
VIS_2476,length,13.8,cm
VIS_2476,sampling distance,50.0,meter
VIS_2476,weight,27.60,g
VIS_2477,length,9.0,cm
VIS_2477,sampling distance,50.0,meter
VIS_2477,weight,8.00,g
VIS_2478,length,8.3,cm
VIS_2478,sampling distance,50.0,meter
VIS_2478,weight,7.10,g
VIS_2479,length,13.0,cm
VIS_2479,sampling distance,50.0,meter
VIS_2479,weight,22.80,g
VIS_2480,length,9.5,cm
VIS_2480,sampling distance,50.0,meter
VIS_2480,weight,8.30,g
VIS_2481,length,10.2,cm
VIS_2481,sampling distance,50.0,meter
VIS_2481,weight,19.30,g
VIS_2482,length,10.0,cm
VIS_2482,sampling distance,50.0,meter
VIS_2482,weight,10.20,g
VIS_2483,length,12.0,cm
VIS_2483,sampling distance,50.0,meter
VIS_2483,weight,17.50,g
VIS_2484,length,11.0,cm
VIS_2484,sampling distance,50.0,meter
VIS_2484,weight,8.40,g
VIS_2485,length,9.0,cm
VIS_2485,sampling distance,50.0,meter
VIS_2485,weight,6.70,g
VIS_2486,length,8.4,cm
VIS_2486,sampling distance,50.0,meter
VIS_2486,weight,6.50,g
VIS_2487,length,5.8,cm
VIS_2487,sampling distance,50.0,meter
VIS_2487,weight,1.60,g
VIS_2488,length,6.4,cm
VIS_2488,sampling distance,50.0,meter
VIS_2488,weight,2.30,g
VIS_2489,length,6.2,cm
VIS_2489,sampling distance,50.0,meter
VIS_2489,weight,3.10,g
VIS_2490,length,12.0,cm
VIS_2490,sampling distance,50.0,meter
VIS_2490,weight,38.70,g
VIS_2491,length,5.5,cm
VIS_2491,sampling distance,50.0,meter
VIS_2491,weight,2.30,g
VIS_2492,length,5.0,cm
VIS_2492,sampling distance,50.0,meter
VIS_2492,weight,2.20,g
VIS_2493,length,5.2,cm
VIS_2493,sampling distance,50.0,meter
VIS_2493,weight,1.80,g
VIS_2494,length,4.0,cm
VIS_2494,sampling distance,50.0,meter
VIS_2494,weight,0.70,g
VIS_2495,length,5.2,cm
VIS_2495,sampling distance,50.0,meter
VIS_2495,weight,1.90,g
